a1	a13	a14	a3	a7	n_a1_a12_n_a4_a16_a9	n_a1_a2_a12_a9_a16_a4_a8_a5_a10_a15	n_a4_a16_a9	n_n_a16_a8_a1_n_a16_a10_a16_a12_a9_a4	n_n_a4_a16_a9_a1_n_a4_n_a16_a8_a16_a9_a12_n_a1_a16_n_a4_n_a16_a10_a16_a9	n_n_a4_a16_a9_a1_n_a4_n_a16_a8_a16_a9_a16_a9_a12_a4_n_a4_n_a16_a10_a16_a9

0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	0	0	0	0	0	0
1	1	0	0	0	0	0	1	0	0	0
1	0	0	0	1	1	0	1	0	0	0
1	1	0	0	0	1	0	1	0	0	0
1	1	0	0	0	1	0	1	0	1	0
1	0	0	0	1	1	0	1	0	1	0
1	1	1	1	1	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1	1	1
1	1	1	0	0	1	1	1	1	1	1
1	0	0	1	1	1	0	1	1	1	1
1	0	0	0	1	1	1	1	1	1	1
1	1	0	0	0	1	1	1	1	1	1
1	1	1	0	0	1	0	1	1	1	1
1	0	0	0	1	1	0	1	0	1	1
1	1	0	0	0	1	0	1	0	1	1
